task id,website,serving type,task types,data path,goal,eval type,start url,evaluation,timestamp,n steps,owner,comment,
71,JoinYourNetwork,online,form filling,triwest/triwest.wacz,"Enter Institution in Practice Type and select Inpatient, skilled nursing facility, professional services and behavorial health partial hospitalization program in Types of Services",js_matcher,https://joinournetwork.triwest.com/,"JSON.stringify(Array.from(document.querySelector('select[id=""lbInstitutionTypesOfServices""]').selectedOptions).map((x)=>x.innerHTML)) == JSON.stringify(['Inpatient', 'Skilled Nursing Facility', 'Professional Services', 'Behavioral Health Partial Hospitalization Program']) && document.querySelector('select[id=""ddlTypeOfPractice""]').selectedIndex == 3",,,Sanjari,,
72,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter John Doe in First and Last Name,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""txtProviderPOCName""]').value==""John Doe""",,,Sanjari,,
73,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Format (804)-(813)-(8888) without any special characters and fill in the phone number field,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""txtProviderPOCPhone""]').value==""8048138888""",,,Sanjari,,
74,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter 95015 in zip code,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""txtZipCode""]').value==""95015""",,,Sanjari,,
75,Airbnb,online,form filling,airbnb/airbnb_search.wacz,You want to travel to Seattle. Fill the relevant field ,js_matcher,https://www.airbnb.com/,"document.querySelector('input[aria-describedby=""bigsearch-query-location-description""]').value=='Seattle'",,,Sanjari,,
76,Airbnb,online,datepicker,airbnb/airbnb_search.wacz,You can check in on any 2 days around June 2nd 2025. Fill the relevant field ,js_matcher,https://www.airbnb.com/,"document.querySelector('div[class=""v1v28j4b atm_c8_km0zk7 atm_g3_18khvle atm_fr_1m9t47k atm_7l_dezgoh atm_cs_10d11i2 atm_ks_15vqwwr atm_sq_1l2sidv atm_vy_1osqo2v v13ly71q atm_ll_exct8b dir dir-ltr""]').innerText =='Jun 2±2'",,,Sanjari,The evaluator itself requires to have positioned the mouse correctly,
77,Airbnb,online,datepicker,airbnb/airbnb_search.wacz,You can check in on June 2nd 2025. Fill the relevant field ,js_matcher,https://www.airbnb.com/,"document.querySelector('div[class=""v1v28j4b atm_c8_km0zk7 atm_g3_18khvle atm_fr_1m9t47k atm_7l_dezgoh atm_cs_10d11i2 atm_ks_15vqwwr atm_sq_1l2sidv atm_vy_1osqo2v dir dir-ltr""]').innerText=='Jun 2'",,,Sanjari,,
78,Airbnb,online,datepicker,airbnb/airbnb_search.wacz,You want to check in on April 23 2025 and checkout 4 weeks later. Fill the relevant fields.,js_matcher,https://www.airbnb.com/,"JSON.stringify(Array.from(document.querySelectorAll('div[class=""v1v28j4b atm_c8_km0zk7 atm_g3_18khvle atm_fr_1m9t47k atm_7l_dezgoh atm_cs_10d11i2 atm_ks_15vqwwr atm_sq_1l2sidv atm_vy_1osqo2v dir dir-ltr""]')).map((x)=>x.innerText)) == JSON.stringify(['Apr 23', 'May 21'])",,,Sanjari,,
79,Airbnb,online,form filling,airbnb/airbnb_search.wacz,Select 4 guests and 1 pet. Leave the dropdown menu opened. Do not try to submit the form.,js_matcher,https://www.airbnb.com/,"document.querySelector('div[class=""v1v28j4b atm_c8_km0zk7 atm_g3_18khvle atm_fr_1m9t47k atm_7l_dezgoh atm_cs_10d11i2 atm_ks_15vqwwr atm_sq_1l2sidv atm_vy_1osqo2v v13ly71q atm_ll_exct8b dir dir-ltr""]').innerText == '4 guests, 1 pet'",,,Sanjari,,
80,Airbnb,online,form filling,airbnb/airbnb_search.wacz,Select 1 guest and close the relevant dropdown after setting the value. Do not try submitting anything else.,js_matcher,https://www.airbnb.com/,"document.querySelector('div[class=""v1v28j4b atm_c8_km0zk7 atm_g3_18khvle atm_fr_1m9t47k atm_7l_dezgoh atm_cs_10d11i2 atm_ks_15vqwwr atm_sq_1l2sidv atm_vy_1osqo2v dir dir-ltr""]').innerText =='1 guest'",,,Sanjari,,
81,Wellcare,online,form filling,wellcare/wellcare_form.wacz,Enter Gregory as Provider's First Name in the form,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderProviderFirstName > span > input"").value == ""Gregory""",,,Manpreet,,
82,Wellcare,online,form filling,wellcare/wellcare_form.wacz,Enter House as Provider's Last Name,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderProviderLastName > span > input"").value == ""House""",,,Manpreet,,
83,Wellcare,online,"dropdown option selection, form filling",wellcare/wellcare_form.wacz,Enter MD as Degree Type,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderDegreeType > div > div > div.selectric > p"").innerText == ""MD""",,,Manpreet,,
84,Wellcare,online,form filling,wellcare/wellcare_form.wacz,"Select the boxes ""Check to add provider to existing agreement"" and ""Check to join as a group""",js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ Provider > label:nth-child(2) > div > input[type=checkbox]"").checked && document.querySelector(""#DivDropdownBecome\\ A\\ Provider > label:nth-child(3) > div > input[type=checkbox]"").checked && !document.querySelector(""#DivDropdownBecome\\ A\\ Provider > label:nth-child(4) > div > input[type=checkbox]"").checked",,,Manpreet,,
85,Wellcare,online,"dropdown option selection, form filling",wellcare/wellcare_form.wacz,Select Neurology as Specialty from the dropdown list,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderSpecialty > div > div > div.selectric > p"").innerText == ""Neurology""",,,Manpreet,,
86,Wellcare,online,form filling,wellcare/wellcare_form.wacz,Enter zipcode 08544 in the ZIP Code field,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderZIPCode > span > input"").value == ""08544""",,,Manpreet,,
87,Wellcare,online,form filling,wellcare/wellcare_form.wacz,Enter phone number (615) 938-5930 in the Phone Number field under Your Contact Infomation section,js_matcher,https://www.wellcare.com/Become-a-Provider,"document.querySelector(""#DivDropdownBecome\\ A\\ ProviderPhoneNumber > span > input"").value == ""(615) 938-5930""",,,Manpreet,,
